Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
D,0,31,sem,0.205519536,0.449048786,0.345431677,0.372045578,154.4711301,0.542322477,0.343514353,0.896227335,41.23333333,7.933333333,49.16666667,0.659555556
D,0,31,com,0.217301234,0.438609635,0.344089131,0.337406212,154.3740852,0.504568035,0.286415206,0.92730606,40.83333333,7.933333333,48.76666667,0.509361702
D,0,31,com,0.284654429,0.419413719,0.295931851,0.191400918,125.0211403,0.321303962,0.153818668,0.869521014,39.9,7.6,47.5,
D,0,31,com,0.204986985,0.439222553,0.355790462,0.36360152,158.6286706,0.533295857,0.225874842,0.961546826,41.03333333,7.966666667,49,0.535103448
D,0,31,com,0.212705974,0.437161577,0.35013245,0.345386692,156.7359444,0.513438543,0.224078067,0.95824971,39.56666667,7.766666667,47.33333333,0.411210526
D,0,31,com,0.286766117,0.425647556,0.287586328,0.194944938,120.3543502,0.326282712,0.187416885,0.830735413,38.8,7.533333333,46.33333333,0.459754386
A,0,42,sem,0.317408758,0.432959079,0.249632163,0.153991569,97.81779235,0.423427814,0.300323036,0.63551523,37.1,6.7,43.8,0.52097
A,0,42,sem,0.296833818,0.407737656,0.295428526,0.157406086,119.2492375,0.275444585,0.380917313,0.777041798,35.5,6.6,42.1,0.64187
A,0,42,sem,0.293536734,0.417051675,0.289411591,0.173820653,118.060887,0.306053402,0.295843517,0.788594844,36.46666667,6.233333333,42.7,0.73356
A,0,42,sem,0.294768455,0.403989802,0.301241743,0.156307772,123.5560565,0.270356692,0.39702813,0.797294262,34.63333333,5.666666667,40.3,0.73279
A,0,42,sem,0.299737946,0.404961807,0.295300246,0.149317295,117.5719659,0.270794824,0.369171235,0.773188902,36.26666667,6,42.26666667,0.81005
A,0,42,com,0.318493178,0.429950244,0.251556578,0.148918492,97.4868911,0.414917002,0.257581359,0.650761053,33.59666667,8.63,42.51333333,0.75711
A,0,42,com,0.323057374,0.444596704,0.232345922,0.15832565,94.35728133,0.477400711,0.257685654,0.612511664,30.09666667,7.06,37.56,0.62058
A,0,42,com,0.317165119,0.435530931,0.24730395,0.157255789,97.73076879,0.432178216,0.22463282,0.657345037,33.19333333,8.01,41.45333333,0.62767
A,0,42,com,0.324117505,0.410658219,0.265224276,0.117778406,95.70310136,0.35414838,0.200536757,0.680122184,32.83333333,7.056666667,40.05666667,0.65177
A,0,42,com,0.321174346,0.412944204,0.26588145,0.125006865,97.44110154,0.356132262,0.167193496,0.700230867,28.75,6.8,36.04333333,0.66212
B,0,42,sem,0.322852166,0.424833282,0.252314552,0.136395747,95.4678413,0.406085721,0.300613612,0.628143785,35.56666667,6.2,41.76666667,0.54777
B,0,42,sem,0.319494662,0.42048337,0.260021967,0.136475279,97.76186907,0.38161177,0.387425548,0.620109056,35.4,6.4,41.8,0.65268
B,0,42,sem,0.301039025,0.427085656,0.271875318,0.173111328,108.726122,0.363417351,0.417603333,0.677027116,36.13333333,6.066666667,42.2,0.7287
